全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）
豊頃町,1645,3022.0,50.0,1.6545334215751155,0.2357100766057749
本別町,1646,6618.0,42.0,0.6346328195829556,0.2779456193353474
足寄町,1647,6563.0,26.0,0.3961602925491391,0.1572739187418086
陸別町,1648,2264.0,41.0,1.8109540636042405,0.2641509433962264
浦幌町,1649,4387.0,34.0,0.7750170959653522,0.1465201465201465
釧路町,1661,19105.0,72.0,0.3768646951059932,0.1315404852382344
厚岸町,1662,8892.0,156.0,1.7543859649122806,0.9971777986829726
浜中町,1663,5507.0,84.0,1.5253313964045758,0.3686069728152357
標茶町,1664,7230.0,95.0,1.313969571230982,0.2896801448400724
弟子屈町,1665,6955.0,48.0,0.6901509705248023,0.1691229765643875
鶴居村,1667,2558.0,35.0,1.3682564503518373,0.5329272934906737
白糠町,1668,7289.0,90.0,1.2347372753464123,0.1183559285560576
別海町,1691,14380.0,395.0,2.7468706536856744,0.9839167455061496
中標津町,1692,23010.0,107.0,0.4650152107779227,0.2376782586940205
標津町,1693,5023.0,77.0,1.5329484371889308,0.495926319518243
羅臼町,1694,4722.0,42.0,0.8894536213468869,0.6796941376380629
青森県,2000,1237984.0,5409.0,0.4369200248145372,0.2685425812563394
青森市,2201,275192.0,922.0,0.3350388092677113,0.3014823717948718
弘前市,2202,168466.0,641.0,0.3804922061424857,0.2458127353888583
八戸市,2203,223415.0,1096.0,0.4905668822594722,0.2777602424089388
黒石市,2204,31946.0,116.0,0.3631127527702999,0.1245433410826967
五所川原市,2205,51415.0,97.0,0.1886608966254984,0.2139641567244655
十和田市,2206,60378.0,310.0,0.5134320447845241,0.3116018756617758
三沢市,2207,39152.0,659.0,1.6831834899877405,0.7659120655388046
むつ市,2208,54103.0,153.0,0.2827939300962978,0.1981462679723577
つがる市,2209,30934.0,58.0,0.1874959591388116,0.0617565717047498
平川市,2210,30567.0,48.0,0.1570320934340956,0.1155076412747304
平内町,2301,10126.0,47.0,0.4641516887221015,0.169889167543079
今別町,2303,2334.0,3.0,0.1285347043701799,0.0932545850170966
蓬田村,2304,2540.0,2.0,0.0787401574803149,0.0305716906144909
外ヶ浜町,2307,5401.0,36.0,0.6665432327346787,0.2115954295387219
鰺ヶ沢町,2321,9044.0,14.0,0.1547987616099071,0.2707660057646956
深浦町,2323,7346.0,22.0,0.2994827116798257,0.2270147559591373
西目屋村,2343,1265.0,,,
藤崎町,2361,14573.0,27.0,0.1852741371028614,0.1061107296673116
大鰐町,2362,8665.0,2.0,0.0230813618003462,0.0273273820368008
田舎館村,2367,7326.0,11.0,0.1501501501501501,0.0122654237703912
板柳町,2381,12700.0,19.0,0.1496062992125984,0.157614763249491
鶴田町,2384,12074.0,15.0,0.1242338910054663,0.2102312543798178
中泊町,2387,9657.0,64.0,0.6627316972144559,0.1961861414109707
野辺地町,2401,12374.0,151.0,1.220300630353968,0.6357412323599273
七戸町,2402,14556.0,54.0,0.3709810387469085,0.1312727489707023
六戸町,2405,10447.0,81.0,0.7753422035033981,0.322234156820623
横浜町,2406,4229.0,76.0,1.7971151572475763,0.1639008399918049
東北町,2408,16428.0,103.0,0.6269783296810324,0.2512299801109599
六ヶ所村,2411,10367.0,103.0,0.993537185299508,0.5317710680486706
おいらせ町,2412,24273.0,228.0,0.9393152885922632,0.4378175209615463
大間町,2423,4718.0,9.0,0.1907587961000423,0.1892744479495268
東通村,2424,5955.0,12.0,0.2015113350125944,0.1241036955322669
風間浦村,2425,1636.0,3.0,0.1833740831295843,0.1218026796589524
佐井村,2426,1788.0,1.0,0.0559284116331096,0.0825763831544178
三戸町,2441,9082.0,34.0,0.3743668795419511,0.2566598814054341
五戸町,2442,16042.0,72.0,0.4488218426630096,0.2885848653270628
田子町,2443,4968.0,13.0,0.2616747181964573,0.4534412955465586
南部町,2445,16809.0,33.0,0.1963233981795466,0.2216289729511912
階上町,2446,13496.0,66.0,0.4890337877889745,0.3401591945030274
新郷村,2450,2197.0,8.0,0.3641329085116067,0.2806032970887407
岩手県,3000,1210534.0,6937.0,0.5730528840990835,0.3897313605187998
盛岡市,3201,289731.0,1321.0,0.4559401651877086,0.3489213938085725
宮古市,3202,50369.0,125.0,0.2481685163493418,0.2170620898536093
大船渡市,3203,34728.0,318.0,0.915687629578438,0.8297125463337998
花巻市,3205,93193.0,373.0,0.4002446535684011,0.3144778091050691
北上市,3206,93045.0,736.0,0.7910151002203235,0.3618286843178939
久慈市,3207,33043.0,324.0,0.9805405078231396,0.5207203297895422
遠野市,3208,25366.0,155.0,0.6110541669951904,0.2829770549930108
一関市,3209,111932.0,799.0,0.7138262516527892,0.5346691629138627
陸前高田市,3210,18262.0,173.0,0.94732230861899,0.4763948497854077
釜石市,3211,32078.0,219.0,0.6827108922002618,0.3108101278617274
二戸市,3213,25513.0,192.0,0.7525575196958414,0.5117500505016497
八幡平市,3214,24023.0,95.0,0.3954543562419348,0.5788005578800558
奥州市,3215,112937.0,589.0,0.5215297024004534,0.3134369037884982
滝沢市,3216,55579.0,233.0,0.4192230878569244,
雫石町,3301,15731.0,42.0,0.2669887483313203,0.2772694504519492
葛巻町,3302,5634.0,23.0,0.4082357117500887,0.2464403066812705
岩手町,3303,12285.0,165.0,1.3431013431013432,0.7608115323011212
紫波町,3321,32147.0,86.0,0.2675210750614365,0.2553472722903148
矢巾町,3322,28056.0,104.0,0.3706871970345024,0.2573056423451571
西和賀町,3366,5134.0,24.0,0.4674717569146864,0.1211754013935171
金ケ崎町,3381,15535.0,145.0,0.9333762471837788,0.557427258805513
平泉町,3402,7252.0,39.0,0.5377826806398235,0.2037147992810065
住田町,3441,5045.0,106.0,2.101090188305253,0.7754442649434572
大槌町,3461,11004.0,51.0,0.4634678298800436,0.4385964912280701
山田町,3482,14320.0,62.0,0.4329608938547485,0.4565719503679432
岩泉町,3483,8726.0,61.0,0.6990602796241119,0.3702332469455757
田野畑村,3484,3059.0,29.0,0.9480222294867604,0.2602133749674733
普代村,3485,2487.0,21.0,0.8443908323281062,0.0647668393782383
軽米町,3501,8421.0,89.0,1.0568816055100343,0.6758742286218044
野田村,3503,3936.0,22.0,0.5589430894308943,0.3454231433506045
九戸村,3506,5378.0,16.0,0.2975083674228337,0.3227293683725218
洋野町,3507,15091.0,51.0,0.3379497713869194,0.4075252609836431
一戸町,3524,11494.0,149.0,1.296328519227423,0.8740396137308805
宮城県,4000,2301996.0,19453.0,0.8450492529092144,0.5266665672982946
仙台市,4100,1096704.0,11507.0,1.049234798085901,0.7036423049639288
仙台市青葉区,4101,311590.0,5581.0,1.7911357874129463,1.2205081046953703
仙台市宮城野区,4102,196732.0,1915.0,0.9734054449708232,0.5790846996687194
仙台市若林区,4103,141475.0,1258.0,0.8892030394062556,0.5457046543618581
仙台市太白区,4104,234758.0,1677.0,0.714352652518764,0.5648539358441982
仙台市泉区,4105,212149.0,1076.0,0.5071907008753281,0.346618809279156
石巻市,4202,140151.0,1071.0,0.7641757818353062,0.4507977565816472
塩竈市,4203,52203.0,503.0,0.9635461563511676,0.362896087803151
