統計名：,令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）,,,,,,,,,,
表番号：,44-1,,,,,,,,,,
表題：,[外国人] 男女，国籍別人口－全国，都道府県，市区町村,,,,,,,,,,
実施年月：,2020年,10月,,,,,,,,,
市区町村時点（年月日）：,-,,,,,,,,,,
,,,,,,,,,,,
NA,欠測値,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,/表章事項 コード,2020_01,2020_01
,,,,,,,,,/表章事項 補助コード,-,-
,,,,,,,,,/表章事項,人口【人】,人口【人】
,,,,,,,,,/国籍 コード,0,1
,,,,,,,,,/国籍 補助コード,-,-
時間軸（年次） コード,時間軸（年次） 補助コード,時間軸（年次）,男女 コード,男女 補助コード,男女,全国，都道府県，市区町村 コード,全国，都道府県，市区町村 補助コード,全国，都道府県，市区町村,/国籍,総数,外国人
2020000000,,2020年,0,,総数,4324,,川崎町,,8345,127
2020000000,,2020年,0,,総数,4341,,丸森町,,12262,133
2020000000,,2020年,0,,総数,4361,,亘理町,,33087,155
2020000000,,2020年,0,,総数,4362,,山元町,,12046,58
2020000000,,2020年,0,,総数,4401,,松島町,,13323,63
2020000000,,2020年,0,,総数,4404,,七ヶ浜町,,18132,98
2020000000,,2020年,0,,総数,4406,,利府町,,35182,120
2020000000,,2020年,0,,総数,4421,,大和町,,28786,374
2020000000,,2020年,0,,総数,4422,,大郷町,,7813,79
2020000000,,2020年,0,,総数,4424,,大衡村,,5849,58
2020000000,,2020年,0,,総数,4444,,色麻町,,6698,34
2020000000,,2020年,0,,総数,4445,,加美町,,21943,162
2020000000,,2020年,0,,総数,4501,,涌谷町,,15388,57
2020000000,,2020年,0,,総数,4505,,美里町,,23994,64
2020000000,,2020年,0,,総数,4581,,女川町,,6430,212
2020000000,,2020年,0,,総数,4606,,南三陸町,,12225,164
2020000000,,2020年,0,,総数,5000,,秋田県,,959502,3651
2020000000,,2020年,0,,総数,5201,,秋田市,,307672,1187
2020000000,,2020年,0,,総数,5202,,能代市,,49968,208
2020000000,,2020年,0,,総数,5203,,横手市,,85555,373
2020000000,,2020年,0,,総数,5204,,大館市,,69237,295
2020000000,,2020年,0,,総数,5206,,男鹿市,,25154,44
2020000000,,2020年,0,,総数,5207,,湯沢市,,42091,114
2020000000,,2020年,0,,総数,5209,,鹿角市,,29088,89
2020000000,,2020年,0,,総数,5210,,由利本荘市,,74707,256
2020000000,,2020年,0,,総数,5211,,潟上市,,31720,85
2020000000,,2020年,0,,総数,5212,,大仙市,,77657,226
2020000000,,2020年,0,,総数,5213,,北秋田市,,30198,142
2020000000,,2020年,0,,総数,5214,,にかほ市,,23435,83
2020000000,,2020年,0,,総数,5215,,仙北市,,24610,89
2020000000,,2020年,0,,総数,5303,,小坂町,,4780,33
2020000000,,2020年,0,,総数,5327,,上小阿仁村,,2063,21
2020000000,,2020年,0,,総数,5346,,藤里町,,2896,26
2020000000,,2020年,0,,総数,5348,,三種町,,15254,46
2020000000,,2020年,0,,総数,5349,,八峰町,,6577,48
2020000000,,2020年,0,,総数,5361,,五城目町,,8538,18
2020000000,,2020年,0,,総数,5363,,八郎潟町,,5583,26
2020000000,,2020年,0,,総数,5366,,井川町,,4566,6
2020000000,,2020年,0,,総数,5368,,大潟村,,3011,19
2020000000,,2020年,0,,総数,5434,,美郷町,,18613,49
2020000000,,2020年,0,,総数,5463,,羽後町,,13825,102
2020000000,,2020年,0,,総数,5464,,東成瀬村,,2704,66
2020000000,,2020年,0,,総数,6000,,山形県,,1068027,7149
2020000000,,2020年,0,,総数,6201,,山形市,,247590,1156
2020000000,,2020年,0,,総数,6202,,米沢市,,81252,737
2020000000,,2020年,0,,総数,6203,,鶴岡市,,122347,635
2020000000,,2020年,0,,総数,6204,,酒田市,,100273,503
2020000000,,2020年,0,,総数,6205,,新庄市,,34432,361
2020000000,,2020年,0,,総数,6206,,寒河江市,,40189,345
2020000000,,2020年,0,,総数,6207,,上山市,,29110,147
2020000000,,2020年,0,,総数,6208,,村山市,,22516,180
2020000000,,2020年,0,,総数,6209,,長井市,,26543,340
2020000000,,2020年,0,,総数,6210,,天童市,,62140,531
2020000000,,2020年,0,,総数,6211,,東根市,,47682,322
2020000000,,2020年,0,,総数,6212,,尾花沢市,,14971,80
2020000000,,2020年,0,,総数,6213,,南陽市,,30420,269
2020000000,,2020年,0,,総数,6301,,山辺町,,13725,47
2020000000,,2020年,0,,総数,6302,,中山町,,10746,57
2020000000,,2020年,0,,総数,6321,,河北町,,17641,181
2020000000,,2020年,0,,総数,6322,,西川町,,4956,42
2020000000,,2020年,0,,総数,6323,,朝日町,,6366,52
2020000000,,2020年,0,,総数,6324,,大江町,,7646,87
2020000000,,2020年,0,,総数,6341,,大石田町,,6577,78
2020000000,,2020年,0,,総数,6361,,金山町,,5071,57
2020000000,,2020年,0,,総数,6362,,最上町,,8080,82
2020000000,,2020年,0,,総数,6363,,舟形町,,5007,33
2020000000,,2020年,0,,総数,6364,,真室川町,,7203,35
2020000000,,2020年,0,,総数,6365,,大蔵村,,3028,16
2020000000,,2020年,0,,総数,6366,,鮭川村,,3902,26
2020000000,,2020年,0,,総数,6367,,戸沢村,,4199,60
2020000000,,2020年,0,,総数,6381,,高畠町,,22463,196
2020000000,,2020年,0,,総数,6382,,川西町,,14558,68
2020000000,,2020年,0,,総数,6401,,小国町,,7107,56
2020000000,,2020年,0,,総数,6402,,白鷹町,,12890,121
2020000000,,2020年,0,,総数,6403,,飯豊町,,6613,48
2020000000,,2020年,0,,総数,6426,,三川町,,7601,30
2020000000,,2020年,0,,総数,6428,,庄内町,,20151,106
2020000000,,2020年,0,,総数,6461,,遊佐町,,13032,65
2020000000,,2020年,0,,総数,7000,,福島県,,1833152,12868
2020000000,,2020年,0,,総数,7201,,福島市,,282693,1772
2020000000,,2020年,0,,総数,7202,,会津若松市,,117376,738
2020000000,,2020年,0,,総数,7203,,郡山市,,327692,2561
2020000000,,2020年,0,,総数,7204,,いわき市,,332931,2439
2020000000,,2020年,0,,総数,7205,,白河市,,59491,574
2020000000,,2020年,0,,総数,7207,,須賀川市,,74992,375
2020000000,,2020年,0,,総数,7208,,喜多方市,,44760,216
2020000000,,2020年,0,,総数,7209,,相馬市,,34865,178
2020000000,,2020年,0,,総数,7210,,二本松市,,53557,344
2020000000,,2020年,0,,総数,7211,,田村市,,35169,311
2020000000,,2020年,0,,総数,7212,,南相馬市,,59005,403
2020000000,,2020年,0,,総数,7213,,伊達市,,58240,401
2020000000,,2020年,0,,総数,7214,,本宮市,,30236,186
