全国，都道府県，市区町村,Unnamed: 0,自治体コード,人口総数,うち外国人数,外国人比率（%）
八戸市,194,2203,223415.0,1096.0,0.4905668822594722
黒石市,195,2204,31946.0,116.0,0.3631127527702999
五所川原市,196,2205,51415.0,97.0,0.1886608966254984
十和田市,197,2206,60378.0,310.0,0.5134320447845241
三沢市,198,2207,39152.0,659.0,1.6831834899877405
むつ市,199,2208,54103.0,153.0,0.2827939300962978
つがる市,200,2209,30934.0,58.0,0.1874959591388116
平川市,201,2210,30567.0,48.0,0.1570320934340956
平内町,202,2301,10126.0,47.0,0.4641516887221015
今別町,203,2303,2334.0,3.0,0.1285347043701799
蓬田村,204,2304,2540.0,2.0,0.0787401574803149
外ヶ浜町,205,2307,5401.0,36.0,0.6665432327346787
鰺ヶ沢町,206,2321,9044.0,14.0,0.1547987616099071
深浦町,207,2323,7346.0,22.0,0.2994827116798257
西目屋村,208,2343,1265.0,,
藤崎町,209,2361,14573.0,27.0,0.1852741371028614
大鰐町,210,2362,8665.0,2.0,0.0230813618003462
田舎館村,211,2367,7326.0,11.0,0.1501501501501501
板柳町,212,2381,12700.0,19.0,0.1496062992125984
鶴田町,213,2384,12074.0,15.0,0.1242338910054663
中泊町,214,2387,9657.0,64.0,0.6627316972144559
野辺地町,215,2401,12374.0,151.0,1.220300630353968
七戸町,216,2402,14556.0,54.0,0.3709810387469085
六戸町,217,2405,10447.0,81.0,0.7753422035033981
横浜町,218,2406,4229.0,76.0,1.7971151572475763
東北町,219,2408,16428.0,103.0,0.6269783296810324
六ヶ所村,220,2411,10367.0,103.0,0.993537185299508
おいらせ町,221,2412,24273.0,228.0,0.9393152885922632
大間町,222,2423,4718.0,9.0,0.1907587961000423
東通村,223,2424,5955.0,12.0,0.2015113350125944
風間浦村,224,2425,1636.0,3.0,0.1833740831295843
佐井村,225,2426,1788.0,1.0,0.0559284116331096
三戸町,226,2441,9082.0,34.0,0.3743668795419511
五戸町,227,2442,16042.0,72.0,0.4488218426630096
田子町,228,2443,4968.0,13.0,0.2616747181964573
南部町,229,2445,16809.0,33.0,0.1963233981795466
階上町,230,2446,13496.0,66.0,0.4890337877889745
新郷村,231,2450,2197.0,8.0,0.3641329085116067
岩手県,232,3000,1210534.0,6937.0,0.5730528840990835
盛岡市,233,3201,289731.0,1321.0,0.4559401651877086
宮古市,234,3202,50369.0,125.0,0.2481685163493418
大船渡市,235,3203,34728.0,318.0,0.915687629578438
花巻市,236,3205,93193.0,373.0,0.4002446535684011
北上市,237,3206,93045.0,736.0,0.7910151002203235
